timestamp,altitude,Debug0,Debug1,Debug2,Debug3
1672029857247,0.25,2002,1,0,1558
1672029857346,0.25,2000,-1,0,1558
1672029857446,0.25,2001,0,0,1558
1672029857546,0.25,2000,-1,0,1558
1672029857646,0.25,2001,0,0,1558
1672029857746,0.25,2001,0,0,1558
1672029857846,0.25,2001,0,0,1558
1672029857946,0.25,2002,1,0,1558
1672029858046,0.25,2001,0,0,1558
1672029858146,0.25,2002,1,0,1558
1672029858246,0.25,2001,0,0,1558
1672029858346,0.25,2002,1,0,1558
1672029858446,0.25,2002,1,0,1558
1672029858546,0.25,2003,2,0,1558
1672029858647,0.25,2002,1,0,1558
1672029858746,0.25,2001,0,0,1558
1672029858847,0.25,2001,0,0,1558
1672029858946,0.25,2001,0,0,1558
1672029859047,0.25,2001,0,0,1558
1672029859146,0.25,2001,0,0,1558
1672029859246,0.25,2002,1,0,1558
1672029859346,0.25,2001,0,0,1558
1672029859446,0.25,2002,1,0,1558
1672029859546,0.25,2003,2,0,1558
1672029859646,0.25,2002,1,0,1558
1672029859748,0.25,2003,2,0,1558
1672029859848,0.25,2002,1,0,1558
1672029859947,0.25,2002,1,0,1558
1672029860051,0.25,2000,-1,0,1558
1672029860153,0.25,2001,0,0,1558
1672029860246,0.25,2000,-1,0,1558
1672029860346,0.25,2001,0,0,1558
1672029860446,0.25,2002,1,0,1558
1672029860546,0.25,2001,0,0,1558
1672029860646,0.25,2002,1,0,1558
1672029860746,0.25,2002,1,0,1558
1672029860846,0.25,2001,0,0,1558
1672029860946,0.25,2001,0,0,1558
1672029861047,0.25,2002,1,0,1558
1672029861146,0.25,2001,0,0,1558
1672029861246,0.25,2000,-1,0,1558
1672029861346,0.25,2002,1,0,1558
1672029861446,0.25,2002,1,0,1558
1672029861547,0.25,2002,1,0,1558
1672029861646,0.25,2001,0,0,1558
1672029861746,0.25,2002,1,0,1558
1672029861850,0.25,2002,1,0,1558
1672029861948,0.25,2001,0,0,1558
1672029862050,0.25,2003,2,0,1558
1672029862150,0.25,2001,0,0,1558
1672029862247,0.25,2001,0,0,1558
1672029862346,0.25,2002,1,0,1558
1672029862448,0.25,2001,0,0,1558
